target_end_date,horizon,output_type_id,value,location,target,Model,output_type,reference_date
2025-12-06,2,stable,0.8851331842524016,11,wk flu hosp rate change,Median Epistorm Ensemble,pmf,2025-11-22
2025-12-06,2,increase,0.11486681574759838,11,wk flu hosp rate change,Median Epistorm Ensemble,pmf,2025-11-22
2025-12-06,2,large_increase,0.0,11,wk flu hosp rate change,Median Epistorm Ensemble,pmf,2025-11-22
2025-12-06,2,decrease,0.0,11,wk flu hosp rate change,Median Epistorm Ensemble,pmf,2025-11-22
2025-12-06,2,large_decrease,0.0,11,wk flu hosp rate change,Median Epistorm Ensemble,pmf,2025-11-22
2025-12-13,3,stable,0.8406194598575093,11,wk flu hosp rate change,Median Epistorm Ensemble,pmf,2025-11-22
2025-12-13,3,increase,0.1593805401424907,11,wk flu hosp rate change,Median Epistorm Ensemble,pmf,2025-11-22
2025-12-13,3,large_increase,0.0,11,wk flu hosp rate change,Median Epistorm Ensemble,pmf,2025-11-22
2025-12-13,3,decrease,0.0,11,wk flu hosp rate change,Median Epistorm Ensemble,pmf,2025-11-22
2025-12-13,3,large_decrease,0.0,11,wk flu hosp rate change,Median Epistorm Ensemble,pmf,2025-11-22
2025-11-22,0,stable,0.5485292647058823,12,wk flu hosp rate change,Median Epistorm Ensemble,pmf,2025-11-22
2025-11-22,0,increase,0.33416675000000007,12,wk flu hosp rate change,Median Epistorm Ensemble,pmf,2025-11-22
2025-11-22,0,large_increase,0.0,12,wk flu hosp rate change,Median Epistorm Ensemble,pmf,2025-11-22
2025-11-22,0,decrease,0.11730398529411765,12,wk flu hosp rate change,Median Epistorm Ensemble,pmf,2025-11-22
2025-11-22,0,large_decrease,0.0,12,wk flu hosp rate change,Median Epistorm Ensemble,pmf,2025-11-22
2025-11-29,1,stable,0.3757174567503829,12,wk flu hosp rate change,Median Epistorm Ensemble,pmf,2025-11-22
2025-11-29,1,increase,0.5674615154718393,12,wk flu hosp rate change,Median Epistorm Ensemble,pmf,2025-11-22
2025-11-29,1,large_increase,0.0,12,wk flu hosp rate change,Median Epistorm Ensemble,pmf,2025-11-22
2025-11-29,1,decrease,0.056821027777777776,12,wk flu hosp rate change,Median Epistorm Ensemble,pmf,2025-11-22
2025-11-29,1,large_decrease,0.0,12,wk flu hosp rate change,Median Epistorm Ensemble,pmf,2025-11-22
2025-12-06,2,stable,0.3248755876328464,12,wk flu hosp rate change,Median Epistorm Ensemble,pmf,2025-11-22
2025-12-06,2,increase,0.6330028529921536,12,wk flu hosp rate change,Median Epistorm Ensemble,pmf,2025-11-22
2025-12-06,2,large_increase,0.0,12,wk flu hosp rate change,Median Epistorm Ensemble,pmf,2025-11-22
2025-12-06,2,decrease,0.04212155937500001,12,wk flu hosp rate change,Median Epistorm Ensemble,pmf,2025-11-22
2025-12-06,2,large_decrease,0.0,12,wk flu hosp rate change,Median Epistorm Ensemble,pmf,2025-11-22
2025-12-13,3,stable,0.351699766887865,12,wk flu hosp rate change,Median Epistorm Ensemble,pmf,2025-11-22
2025-12-13,3,increase,0.581856959416325,12,wk flu hosp rate change,Median Epistorm Ensemble,pmf,2025-11-22
2025-12-13,3,large_increase,0.048356771352905836,12,wk flu hosp rate change,Median Epistorm Ensemble,pmf,2025-11-22
2025-12-13,3,decrease,0.018086502342904265,12,wk flu hosp rate change,Median Epistorm Ensemble,pmf,2025-11-22
2025-12-13,3,large_decrease,0.0,12,wk flu hosp rate change,Median Epistorm Ensemble,pmf,2025-11-22
2025-11-22,0,stable,0.8749201714423305,13,wk flu hosp rate change,Median Epistorm Ensemble,pmf,2025-11-22
2025-11-22,0,increase,0.12507982855766953,13,wk flu hosp rate change,Median Epistorm Ensemble,pmf,2025-11-22
2025-11-22,0,large_increase,0.0,13,wk flu hosp rate change,Median Epistorm Ensemble,pmf,2025-11-22
2025-11-22,0,decrease,0.0,13,wk flu hosp rate change,Median Epistorm Ensemble,pmf,2025-11-22
2025-11-22,0,large_decrease,0.0,13,wk flu hosp rate change,Median Epistorm Ensemble,pmf,2025-11-22
2025-11-29,1,stable,0.8555853653846154,13,wk flu hosp rate change,Median Epistorm Ensemble,pmf,2025-11-22
2025-11-29,1,increase,0.14441463461538462,13,wk flu hosp rate change,Median Epistorm Ensemble,pmf,2025-11-22
2025-11-29,1,large_increase,0.0,13,wk flu hosp rate change,Median Epistorm Ensemble,pmf,2025-11-22
2025-11-29,1,decrease,0.0,13,wk flu hosp rate change,Median Epistorm Ensemble,pmf,2025-11-22
2025-11-29,1,large_decrease,0.0,13,wk flu hosp rate change,Median Epistorm Ensemble,pmf,2025-11-22
